Unnamed: 0.2,Unnamed: 0.1,frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization,day,time,button,timeFromStart,timeFromDisplay,num,timeFromDisplay_std
202,3,6000.0,6135.0,1.4786824044293911,19.0,pictures\transformed\roomBright_figureDark\I.JPG,gamma,0.6511656192339828,sharpness,0.1166252891760781,equalization,9.381906628658072,1.0,20_I_gamma0.65_sharpness0.12_equalization9.4.jpg,20.0,I,0.0,0.65,0.12,0.0,9.4,2023-08-31,22:10:28.058281,f,51.31677842140198,1.2067723274230957,11,-0.1428653454698852
1394,5,5700.0,5862.0,1.567307125616905,18.0,pictures\transformed\roomBright_figureDark\9.JPG,sharpness,0.3692170059673843,equalization,20.06691901509371,None,None,0.0,19_9_sharpness0.37_equalization20.0.jpg,19.0,9,0.0,0.0,0.37,0.0,20.0,2023-08-26,13:59:40.056378,t,48.8251428604126,1.227916240692139,8,-0.8159160815896456
1421,7,11700.0,11857.0,1.695230527505063,38.0,pictures\transformed\roomBright_figureDark\J.JPG,brightness,16.94521558862626,gamma,0.9767174553289264,None,None,2.0,39_J_brightness17.0_gamma0.98.jpg,39.0,J,0.0,0.98,0.0,17.0,0.0,2023-08-26,13:10:19.604073,f,98.77132534980774,1.1753387451171875,8,-1.0827536265982711
1446,6,9600.0,9725.0,1.9458839031428536,31.0,pictures\transformed\roomBright_figureDark\2.JPG,contrast,1.118315677359272,sharpness,0.653224356814322,equalization,5.781774531723862,0.0,32_2_contrast1.1_sharpness0.65_equalization5.8.jpg,32.0,2,1.1,0.0,0.65,0.0,5.8,2023-08-26,13:18:48.401163,t,81.2122950553894,1.1112661361694336,8,-1.407930348824303
821,8,11700.0,11874.0,2.12022799358466,38.0,pictures\transformed\roomBright_figureDark\9.JPG,contrast,1.029515659066297,gamma,0.6048867192209719,equalization,21.47655043669952,0.0,39_9_contrast1.0_gamma0.6_equalization21.0.jpg,39.0,9,1.0,0.6,0.0,0.0,21.0,2023-08-25,19:47:31.606732,t,98.79776048660278,1.095451831817627,2,-1.4640169073461633
789,0,3000.0,3203.0,2.1831198861672303,9.0,pictures\transformed\roomBright_figureDark\S.JPG,brightness,16.47035714608786,gamma,0.8041227803786354,None,None,1.0,10_S_brightness16.0_gamma0.8.jpg,10.0,S,0.0,0.8,0.0,16.0,0.0,2023-08-25,21:09:20.010156,f,26.29083895683289,1.057508945465088,2,-1.6317293627197604
374,6,10800.0,10946.0,2.2757389095216944,35.0,pictures\transformed\roomBright_figureDark\9.JPG,sharpness,0.2752744607232563,equalization,24.32147072530574,None,None,0.0,36_9_sharpness0.28_equalization24.0.jpg,36.0,9,0.0,0.0,0.28,0.0,24.0,2023-09-01,18:31:19.838118,t,91.21382355690002,1.0659582614898682,12,-1.766659975006617
840,5,5400.0,5588.0,2.505142444758459,17.0,pictures\transformed\roomBright_figureDark\2.JPG,gamma,0.8686948500423781,sharpness,0.7918080267803688,equalization,29.22225435202029,0.0,18_2_gamma0.87_sharpness0.79_equalization29.0.jpg,18.0,2,0.0,0.87,0.79,0.0,29.0,2023-08-25,19:55:55.379131,t,46.1469030380249,0.954272985458374,2,-2.0880456317222595
325,4,9900.0,10152.0,3.255696158900306,32.0,pictures\transformed\roomBright_figureDark\7.JPG,brightness,18.81296330486415,sharpness,0.8536889335637494,gamma,0.9868387272136601,2.0,33_7_brightness19.0_sharpness0.85_gamma0.99.jpg,33.0,7,0.0,0.99,0.85,19.0,0.0,2023-09-01,19:01:48.000082,t,83.54268646240234,0.8757507801055908,12,-2.6585871311481224
976,0,300.0,358.0,3.738787291110889,0.0,pictures\transformed\roomBright_figureDark\E.JPG,sharpness,0.2841490071758711,contrast,0.8412288375929591,equalization,16.20008005851166,2.0,1_E_sharpness0.28_contrast0.84_equalization16.0.jpg,1.0,E,0.84,0.0,0.28,0.0,16.0,2023-08-24,15:04:42.103545,f,3.097287893295288,0.5126149654388428,3,-3.963621505529366
